PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,Yrs of Exp
"Vlatko
Cancar",DEN,31,F,6-8,236 lbs,Slovenia,4
"Collin
Gillespie",DEN,21,G,6-1,195 lbs,USA,1
"Aaron
Gordon",DEN,50,F,6-8,235 lbs,USA,9
"Justin
Holiday",DEN,9,F-G,6-6,180 lbs,USA,10
"Jay
Huff",DEN,30,C,7-1,240 lbs,USA,2
"Reggie
Jackson",DEN,7,G,6-2,208 lbs,USA,12
"Nikola
Jokic",DEN,15,C,6-11,284 lbs,Serbia,8
"DeAndre
Jordan",DEN,6,C,6-11,265 lbs,USA,15
"Braxton
Key",DEN,11,F,6-8,225 lbs,USA,1
"Jamal
Murray",DEN,27,G,6-4,215 lbs,Canada,7
"Zeke
Nnaji",DEN,22,F-C,6-9,240 lbs,USA,3
"Jalen
Pickett",DEN,24,G,6-2,202 lbs,USA,1
"Michael
Porter Jr.",DEN,1,F,6-10,218 lbs,USA,4
"Julian
Strawther",DEN,3,G,6-6,205 lbs,USA,1
"Hunter
Tyson",DEN,4,F,6-8,215 lbs,USA,1
"Peyton
Watson",DEN,8,G,6-7,200 lbs,USA,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Bruce
Brown",IND,11,G-F,6-4,202 lbs,USA,5
"Kendall
Brown",IND,10,G,6-7,205 lbs,USA,1
"Tyrese
Haliburton",IND,0,G,6-5,185 lbs,USA,3
"Buddy
Hield",IND,7,G,6-4,220 lbs,Bahamas,7
"Isaiah
Jackson",IND,22,F,6-9,205 lbs,USA,2
"Bennedict
Mathurin",IND,0,G-F,6-5,210 lbs,Canada,1
"T.J.
McConnell",IND,9,G,6-1,190 lbs,USA,8
"Andrew
Nembhard",IND,2,G-F,6-4,191 lbs,Canada,1
"Aaron
Nesmith",IND,23,G-F,6-6,215 lbs,USA,3
"Jordan
Nwora",IND,13,F,6-8,225 lbs,USA,3
"Ben
Sheppard",IND,26,G,6-6,190 lbs,USA,1
"Jalen
Smith",IND,25,F-C,6-9,215 lbs,USA,3
"Daniel
Theis",IND,27,F-C,6-8,245 lbs,Germany,6
"Obi
Toppin",IND,1,F,6-9,220 lbs,USA,3
"Oscar
Tshiebwe",IND,44,F-C,6-8,255 lbs,DRC,1
"Myles
Turner",IND,33,C-F,6-11,250 lbs,USA,8
"Jarace
Walker",IND,5,F,6-7,235 lbs,USA,1
"Isaiah
Wong",IND,21,G,6-3,185 lbs,USA,1
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Jose
Alvarado",NOP,15,G,6-0,179 lbs,USA,2
"Dyson
Daniels",NOP,11,G,6-7,199 lbs,Australia,1
"Jordan
Hawkins",NOP,24,G,6-5,190 lbs,USA,1
"Brandon
Ingram",NOP,14,F,6-8,190 lbs,USA,7
"Herbert
Jones",NOP,5,F,6-7,206 lbs,USA,-
"Kira
Lewis Jr.",NOP,13,G,6-1,170 lbs,USA,3
"E.J.
Liddell",NOP,32,F,6-6,240 lbs,USA,1
"Naji
Marshall",NOP,8,F,6-6,220 lbs,USA,3
"CJ
McCollum",NOP,3,G,6-3,190 lbs,USA,10
"Trey
Murphy III",NOP,25,F,6-8,206 lbs,USA,2
"Larry
Nance Jr.",NOP,22,F-C,6-8,245 lbs,USA,8
"Jeremiah
Robinson-Earl",NOP,50,F,6-8,240 lbs,USA,2
"Matt
Ryan",NOP,37,F,6-6,215 lbs,USA,2
"Dereon
Seabron",NOP,0,G,6-5,180 lbs,USA,1
"Jonas
Valanciunas",NOP,17,C,6-11,265 lbs,Lithuania,11
"Zion
Williamson",NOP,1,F,6-6,284 lbs,USA,4
"Cody
Zeller",NOP,40,F-C,6-11,240 lbs,USA,10
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Marvin
Bagley III",DET,35,F,6-10,235 lbs,USA,5
"Bojan
Bogdanovic",DET,44,F,6-7,226 lbs,Croatia,9
"Alec
Burks",DET,14,G,6-5,214 lbs,USA,12
"Malcolm
Cazalon",DET,20,G,6-6,185 lbs,France,1
"Cade
Cunningham",DET,2,G,6-6,220 lbs,USA,2
"Jalen
Duren",DET,0,C,6-10,250 lbs,USA,1
"Joe
Harris",DET,31,G-F,6-6,220 lbs,USA,9
"Killian
Hayes",DET,7,G,6-5,195 lbs,France,3
"Jaden
Ivey",DET,23,G,6-4,195 lbs,USA,1
"Kevin
Knox II",DET,24,F,6-7,215 lbs,USA,5
"Isaiah
Livers",DET,12,F,6-6,232 lbs,USA,2
"Monte
Morris",DET,5,G,6-2,183 lbs,USA,6
"Jared
Rhoden",DET,8,G,6-5,210 lbs,USA,1
"Marcus
Sasser",DET,25,G,6-2,195 lbs,USA,1
"Isaiah
Stewart",DET,28,F-C,6-8,250 lbs,USA,3
"Ausar
Thompson",DET,9,G-F,6-6,205 lbs,USA,1
"Stanley
Umude",DET,17,G,6-6,210 lbs,USA,1
"James
Wiseman",DET,13,C,6-11,240 lbs,USA,3
PLAYER,TEAM,NUMBER,POSITION,HEIGHT,WEIGHT,COUNTRY,
"Precious
Achiuwa",TOR,5,F,6-8,243 lbs,Nigeria,3
"OG
Anunoby",TOR,3,F,6-7,232 lbs,United Kingdom,6
"Scottie
Barnes",TOR,4,F,6-7,237 lbs,USA,2
"Chris
Boucher",TOR,25,F-C,6-9,200 lbs,Saint Lucia,6
"Gradey
Dick",TOR,1,G,6-6,200 lbs,USA,1
"Malachi
Flynn",TOR,22,G,6-1,185 lbs,USA,3
"Javon
Freeman-Liberty",TOR,0,G,6-3,190 lbs,USA,1
"Ron
Harper Jr.",TOR,8,F,6-4,233 lbs,USA,15
"Christian
Koloko",TOR,35,C,7-0,230 lbs,Cameroon,1
"Jalen
McDaniels",TOR,2,F-C,6-9,190 lbs,USA,4
"Markquis
Nowell",TOR,24,G,5-7,160 lbs,USA,1
"Jakob
Poeltl",TOR,19,C,7-0,260 lbs,Austria,7
